# Energy Mag Mag^2
 -3.2000e+01   16  256
 -2.0000e+01   12  144
 -1.2000e+01  -10  100
 -8.0000e+00   -6   36
 -8.0000e+00    6   36
 -1.6000e+01   10  100
 -2.0000e+01   12  144
 -1.6000e+01   10  100
 -3.2000e+01   16  256
 -1.6000e+01   10  100
 -1.2000e+01    6   36
 -1.6000e+01   -8   64
 -3.2000e+01  -16  256
 -8.0000e+00   -6   36
 -1.2000e+01    8   64
 -3.2000e+01   16  256
 -3.2000e+01   16  256
 -3.2000e+01   16  256
 -3.2000e+01   16  256
 -2.4000e+01   14  196
 -4.0000e+00    6   36
 -1.2000e+01   10  100
 -1.2000e+01   10  100
 -1.2000e+01   10  100
  0.0000e+00   -2    4
 -8.0000e+00   -8   64
 -2.4000e+01  -14  196
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -8.0000e+00   -2    4
 -4.0000e+00   -2    4
 -4.0000e+00   -2    4
 -8.0000e+00    4   16
 -4.0000e+00   -6   36
 -2.0000e+01  -12  144
 -4.0000e+00   -2    4
 -1.2000e+01   -6   36
 -1.6000e+01  -10  100
 -1.6000e+01  -10  100
 -2.0000e+01  -12  144
 -2.4000e+01  -14  196
 -3.2000e+01  -16  256
 -2.0000e+01  -12  144
 -4.0000e+00   -2    4
 -4.0000e+00    2    4
 -1.6000e+01    8   64
 -1.6000e+01   10  100
 -1.2000e+01   -8   64
 -2.4000e+01  -14  196
 -2.0000e+01  -12  144
 -2.0000e+01  -12  144
 -1.2000e+01   -6   36
  0.0000e+00    6   36
 -4.0000e+00   -2    4
 -4.0000e+00   -4   16
 -1.6000e+01   12  144
 -4.0000e+00   -6   36
 -8.0000e+00   -6   36
 -4.0000e+00   -8   64
 -1.6000e+01  -10  100
 -1.6000e+01  -10  100
 -2.4000e+01  -14  196
 -1.6000e+01  -12  144
 -8.0000e+00    8   64
 -8.0000e+00   -2    4
 -1.2000e+01   -6   36
 -8.0000e+00    6   36
 -2.0000e+01   12  144
 -1.2000e+01   -6   36
 -2.0000e+01  -12  144
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -8.0000e+00   -4   16
 -3.2000e+01  -16  256
 -2.4000e+01  -14  196
 -1.6000e+01  -12  144
 -4.0000e+00    4   16
 -2.4000e+01   14  196
  0.0000e+00    6   36
 -1.6000e+01   10  100
 -1.6000e+01    0    0
 -8.0000e+00    6   36
 -4.0000e+00    4   16
 -8.0000e+00   -4   16
 -1.2000e+01   -8   64
 -4.0000e+00    2    4
 -1.6000e+01   10  100
 -2.4000e+01   14  196
 -8.0000e+00    2    4
  0.0000e+00    4   16
 -4.0000e+00   -6   36
 -4.0000e+00    2    4
 -4.0000e+00    6   36
 -1.2000e+01    8   64
 -1.6000e+01   10  100
 -8.0000e+00   -2    4
 -1.2000e+01    6   36
 -8.0000e+00    2    4
 -8.0000e+00    4   16
 -4.0000e+00   -2    4
 -8.0000e+00    8   64
 -3.2000e+01   16  256
 -3.2000e+01   16  256
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -2.4000e+01   14  196
  0.0000e+00    0    0
 -8.0000e+00    4   16
  0.0000e+00    0    0
 -8.0000e+00  -10  100
  0.0000e+00    2    4
 -2.4000e+01   14  196
 -3.2000e+01   16  256
 -3.2000e+01   16  256
 -1.6000e+01    8   64
 -1.6000e+01   -8   64
 -1.6000e+01  -10  100
 -1.2000e+01  -10  100
 -8.0000e+00   -8   64
 -8.0000e+00   -6   36
 -8.0000e+00   -6   36
 -2.4000e+01   14  196
 -1.2000e+01   10  100
 -1.6000e+01   10  100
 -1.6000e+01   12  144
 -1.6000e+01   12  144
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -2.0000e+01   12  144
 -3.2000e+01   16  256
 -2.0000e+01   12  144
 -4.0000e+00    8   64
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -1.6000e+01   10  100
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -1.2000e+01    4   16
 -1.2000e+01   -8   64
 -1.2000e+01    8   64
 -1.2000e+01   -6   36
 -4.0000e+00   -8   64
 -4.0000e+00    0    0
 -8.0000e+00    4   16
 -8.0000e+00    2    4
 -8.0000e+00   -2    4
 -2.4000e+01  -14  196
 -2.4000e+01  -14  196
 -1.2000e+01   -2    4
 -8.0000e+00    4   16
 -8.0000e+00    8   64
 -4.0000e+00    0    0
 -8.0000e+00    0    0
 -1.6000e+01  -12  144
 -1.6000e+01  -10  100
 -8.0000e+00    4   16
 -1.6000e+01   10  100
 -2.4000e+01   14  196
 -2.0000e+01   12  144
 -2.0000e+01   12  144
 -1.2000e+01   10  100
  0.0000e+00   -2    4
 -2.4000e+01  -14  196
 -1.2000e+01  -10  100
 -8.0000e+00    2    4
 -2.4000e+01   14  196
 -4.0000e+00    4   16
 -4.0000e+00    4   16
 -3.2000e+01  -16  256
 -1.6000e+01   10  100
 -1.2000e+01   10  100
 -1.2000e+01    6   36
 -2.4000e+01   14  196
 -2.0000e+01   12  144
 -1.2000e+01    4   16
  0.0000e+00    2    4
 -8.0000e+00   10  100
 -4.0000e+00   -4   16
 -4.0000e+00   -4   16
 -8.0000e+00    4   16
 -8.0000e+00    6   36
 -8.0000e+00    4   16
 -1.6000e+01  -10  100
 -1.6000e+01  -12  144
 -1.2000e+01   -8   64
 -8.0000e+00    2    4
 -8.0000e+00    6   36
 -2.4000e+01   14  196
 -4.0000e+00    4   16
 -8.0000e+00    0    0
 -4.0000e+00   -4   16
 -1.2000e+01  -10  100
 -1.2000e+01   10  100
 -8.0000e+00    8   64
 -4.0000e+00   -6   36
 -2.4000e+01  -14  196
 -8.0000e+00   -8   64
 -1.6000e+01  -12  144
 -1.2000e+01   -6   36
 -2.0000e+01  -12  144
 -3.2000e+01  -16  256
 -2.4000e+01  -14  196
 -1.6000e+01  -10  100
 -2.4000e+01  -14  196
 -8.0000e+00   -6   36
 -2.4000e+01   14  196
 -3.2000e+01   16  256
 -1.6000e+01   12  144
 -1.6000e+01   10  100
  4.0000e+00    2    4
 -4.0000e+00   -4   16
 -8.0000e+00   -4   16
 -2.4000e+01   14  196
 -8.0000e+00   10  100
 -2.4000e+01   14  196
 -3.2000e+01   16  256
 -2.4000e+01   14  196
 -1.2000e+01    4   16
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -1.2000e+01    8   64
 -8.0000e+00   -2    4
 -1.2000e+01   -8   64
 -4.0000e+00    0    0
 -1.6000e+01    8   64
 -1.2000e+01    6   36
 -1.2000e+01    8   64
 -1.6000e+01   12  144
 -1.2000e+01   10  100
 -8.0000e+00    4   16
 -8.0000e+00    6   36
 -2.0000e+01   12  144
 -8.0000e+00   -6   36
 -2.4000e+01  -14  196
 -8.0000e+00   -6   36
 -8.0000e+00    2    4
 -2.0000e+01   12  144
 -1.6000e+01   10  100
 -1.2000e+01    6   36
 -8.0000e+00   -6   36
 -1.6000e+01   10  100
 -1.2000e+01   10  100
 -3.2000e+01   16  256
 -1.2000e+01   -4   16
  0.0000e+00   -4   16
 -2.0000e+01   12  144
 -1.2000e+01   10  100
 -1.2000e+01  -10  100
 -1.6000e+01  -12  144
 -2.4000e+01  -14  196
 -3.2000e+01  -16  256
 -2.0000e+01  -12  144
 -2.4000e+01  -14  196
 -1.2000e+01  -10  100
 -1.2000e+01   10  100
 -1.6000e+01   12  144
 -8.0000e+00   10  100
 -1.6000e+01   12  144
 -1.2000e+01   -2    4
 -2.4000e+01  -14  196
 -2.4000e+01  -14  196
 -2.0000e+01  -12  144
 -3.2000e+01  -16  256
 -2.4000e+01  -14  196
 -8.0000e+00   -8   64
 -4.0000e+00    6   36
 -1.6000e+01   10  100
 -1.2000e+01   10  100
 -1.2000e+01    2    4
 -2.4000e+01  -14  196
 -1.6000e+01   -8   64
 -8.0000e+00   -8   64
  8.0000e+00   -2    4
  0.0000e+00    2    4
  0.0000e+00    0    0
 -1.6000e+01  -12  144
 -8.0000e+00   -4   16
 -1.2000e+01    4   16
 -2.4000e+01   14  196
 -3.2000e+01   16  256
 -1.6000e+01   10  100
 -4.0000e+00    0    0
 -4.0000e+00   -6   36
 -8.0000e+00   -2    4
 -1.6000e+01  -12  144
 -1.2000e+01  -10  100
 -8.0000e+00    0    0
 -3.2000e+01   16  256
 -1.6000e+01   12  144
 -8.0000e+00    4   16
 -8.0000e+00    8   64
 -4.0000e+00    0    0
  0.0000e+00   -4   16
 -1.6000e+01    8   64
 -8.0000e+00   -4   16
 -8.0000e+00   -8   64
 -1.6000e+01   -8   64
 -1.2000e+01   -6   36
 -8.0000e+00   -8   64
 -8.0000e+00    6   36
 -2.0000e+01   12  144
 -3.2000e+01  -16  256
 -2.4000e+01  -14  196
 -2.4000e+01  -14  196
 -2.0000e+01  -12  144
 -2.0000e+01  -12  144
 -8.0000e+00   -4   16
 -1.6000e+01  -12  144
 -4.0000e+00    4   16
 -4.0000e+00   -4   16
 -4.0000e+00    0    0
 -2.4000e+01  -14  196
 -1.6000e+01  -10  100
 -2.4000e+01  -14  196
 -1.6000e+01  -10  100
 -3.2000e+01  -16  256
 -2.4000e+01  -14  196
 -1.2000e+01   -6   36
 -1.2000e+01   10  100
 -4.0000e+00    4   16
 -1.2000e+01    6   36
 -3.2000e+01  -16  256
 -8.0000e+00   -6   36
 -1.2000e+01    8   64
 -1.6000e+01   12  144
 -8.0000e+00    8   64
 -2.0000e+01   12  144
 -2.4000e+01   14  196
 -1.6000e+01   12  144
 -1.2000e+01    6   36
 -8.0000e+00    0    0
 -1.2000e+01   10  100
 -8.0000e+00   10  100
  0.0000e+00   -6   36
 -2.4000e+01  -14  196
 -3.2000e+01  -16  256
 -2.4000e+01  -14  196
 -8.0000e+00   -8   64
 -8.0000e+00    0    0
 -3.2000e+01   16  256
 -2.0000e+01   12  144
 -8.0000e+00   -2    4
 -2.4000e+01   14  196
 -1.6000e+01   10  100
 -2.4000e+01   14  196
 -8.0000e+00    0    0
 -8.0000e+00   -8   64
 -3.2000e+01  -16  256
 -2.4000e+01  -14  196
 -1.2000e+01    6   36
 -4.0000e+00    6   36
  0.0000e+00    0    0
 -2.0000e+01   12  144
 -2.0000e+01   12  144
  0.0000e+00    4   16
 -4.0000e+00    2    4
 -4.0000e+00   -4   16
 -4.0000e+00   -2    4
  0.0000e+00   -2    4
 -8.0000e+00    2    4
 -4.0000e+00    4   16
  4.0000e+00    2    4
 -1.6000e+01   12  144
 -2.4000e+01   14  196
 -1.2000e+01    6   36
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -2.0000e+01   12  144
 -1.2000e+01   10  100
 -1.6000e+01   12  144
 -8.0000e+00   -6   36
 -1.2000e+01   -8   64
 -8.0000e+00   -2    4
 -1.6000e+01  -10  100
 -2.0000e+01  -12  144
 -1.2000e+01    4   16
 -4.0000e+00    2    4
 -8.0000e+00    8   64
 -2.0000e+01   12  144
 -1.6000e+01   10  100
 -8.0000e+00    6   36
 -1.6000e+01  -10  100
 -3.2000e+01  -16  256
 -2.4000e+01  -14  196
 -4.0000e+00   -2    4
 -8.0000e+00   -6   36
 -4.0000e+00    8   64
 -4.0000e+00   -4   16
 -4.0000e+00    8   64
 -8.0000e+00    8   64
 -8.0000e+00   -4   16
 -1.2000e+01  -10  100
 -8.0000e+00   -8   64
 -8.0000e+00    4   16
 -2.4000e+01   14  196
 -3.2000e+01   16  256
 -1.2000e+01   10  100
 -8.0000e+00   -2    4
 -1.6000e+01  -10  100
 -1.2000e+01  -10  100
  0.0000e+00   -2    4
 -4.0000e+00   -4   16
  0.0000e+00    0    0
 -4.0000e+00   -4   16
 -1.2000e+01   -2    4
 -1.6000e+01    8   64
 -2.4000e+01   14  196
 -3.2000e+01   16  256
 -1.2000e+01    2    4
 -1.2000e+01    2    4
 -1.6000e+01   10  100
 -1.6000e+01   12  144
 -3.2000e+01   16  256
 -2.4000e+01   14  196
 -8.0000e+00    6   36
 -8.0000e+00   -2    4
 -2.4000e+01  -14  196
 -2.4000e+01  -14  196
 -2.0000e+01  -12  144
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -4.0000e+00   -8   64
 -8.0000e+00    8   64
 -8.0000e+00   10  100
 -4.0000e+00    8   64
 -8.0000e+00    6   36
  0.0000e+00   -4   16
 -4.0000e+00   -6   36
 -8.0000e+00   -8   64
 -4.0000e+00   -6   36
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -2.4000e+01  -14  196
 -1.6000e+01  -10  100
 -1.6000e+01  -10  100
 -4.0000e+00    0    0
  0.0000e+00    0    0
 -1.6000e+01   10  100
 -8.0000e+00   10  100
 -4.0000e+00    2    4
 -1.2000e+01    8   64
 -4.0000e+00    8   64
 -8.0000e+00   -4   16
 -8.0000e+00   -6   36
 -1.6000e+01  -10  100
 -3.2000e+01  -16  256
 -2.0000e+01  -12  144
 -2.4000e+01  -14  196
 -2.4000e+01  -14  196
 -2.4000e+01  -14  196
  0.0000e+00   -4   16
 -1.2000e+01   -8   64
 -2.0000e+01   12  144
 -2.0000e+01   12  144
 -2.4000e+01   14  196
  0.0000e+00    2    4
 -2.4000e+01  -14  196
 -3.2000e+01  -16  256
 -2.0000e+01  -12  144
 -1.6000e+01  -12  144
 -1.6000e+01  -12  144
 -1.2000e+01   -8   64
 -8.0000e+00    0    0
 -1.2000e+01   -6   36
 -4.0000e+00    2    4
 -8.0000e+00   -8   64
 -8.0000e+00    0    0
 -8.0000e+00    0    0
 -2.4000e+01   14  196
 -8.0000e+00    4   16
 -8.0000e+00    0    0
 -1.6000e+01  -10  100
 -4.0000e+00   -4   16
  0.0000e+00   -2    4
 -4.0000e+00    8   64
 -4.0000e+00   -8   64
 -4.0000e+00    4   16
  0.0000e+00   -4   16
  0.0000e+00   -4   16
  0.0000e+00    4   16
  0.0000e+00    2    4
 -1.6000e+01  -10  100
 -8.0000e+00   -8   64
 -1.2000e+01    8   64
 -3.2000e+01   16  256
 -3.2000e+01   16  256
 -3.2000e+01   16  256
 -2.4000e+01   14  196
 -1.2000e+01    6   36
 -1.6000e+01   10  100
 -4.0000e+00    2    4
 -1.2000e+01   -2    4
 -8.0000e+00    8   64
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -8.0000e+00    0    0
 -4.0000e+00    4   16
 -8.0000e+00   -4   16
 -2.0000e+01  -12  144
 -4.0000e+00   -6   36
  0.0000e+00    0    0
 -1.6000e+01   10  100
 -1.6000e+01    8   64
 -2.0000e+01   12  144
 -8.0000e+00    4   16
 -8.0000e+00    2    4
 -1.2000e+01   -6   36
  4.0000e+00   -4   16
 -2.4000e+01  -14  196
 -1.6000e+01  -10  100
 -1.6000e+01   10  100
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -1.2000e+01   10  100
 -8.0000e+00    4   16
 -1.2000e+01   10  100
 -2.0000e+01   12  144
 -8.0000e+00    0    0
 -8.0000e+00   -4   16
 -1.2000e+01    6   36
 -1.2000e+01   -6   36
 -1.2000e+01  -10  100
 -1.6000e+01  -12  144
 -3.2000e+01  -16  256
 -2.4000e+01  -14  196
 -1.2000e+01   -6   36
 -1.6000e+01   10  100
 -1.2000e+01   10  100
 -1.2000e+01    2    4
 -1.6000e+01  -10  100
 -2.4000e+01  -14  196
 -8.0000e+00  -10  100
 -4.0000e+00   -2    4
 -8.0000e+00    6   36
 -4.0000e+00    0    0
 -8.0000e+00    6   36
  0.0000e+00    2    4
 -3.2000e+01  -16  256
 -2.0000e+01  -12  144
 -2.4000e+01  -14  196
 -2.4000e+01  -14  196
 -8.0000e+00   -6   36
 -1.2000e+01   -8   64
 -1.2000e+01   -8   64
 -2.0000e+01  -12  144
 -1.2000e+01   -4   16
 -2.0000e+01   12  144
 -1.6000e+01   10  100
 -4.0000e+00    8   64
 -4.0000e+00   -2    4
 -1.6000e+01  -12  144
 -1.6000e+01   -8   64
 -2.4000e+01  -14  196
 -4.0000e+00   -6   36
 -8.0000e+00    0    0
 -8.0000e+00   -6   36
 -8.0000e+00    6   36
 -8.0000e+00   -4   16
 -1.2000e+01    8   64
 -1.2000e+01   10  100
 -1.2000e+01    6   36
 -1.2000e+01    8   64
 -1.2000e+01   -8   64
 -1.6000e+01   10  100
 -8.0000e+00   -8   64
 -2.4000e+01  -14  196
 -2.4000e+01  -14  196
 -1.6000e+01  -12  144
 -3.2000e+01  -16  256
 -1.2000e+01   -8   64
 -2.4000e+01  -14  196
 -2.4000e+01  -14  196
 -3.2000e+01  -16  256
 -2.4000e+01  -14  196
  0.0000e+00    2    4
 -1.6000e+01   12  144
 -8.0000e+00    2    4
 -4.0000e+00    4   16
  4.0000e+00    2    4
 -8.0000e+00    0    0
 -8.0000e+00   -4   16
 -8.0000e+00   -2    4
 -1.2000e+01  -10  100
 -3.2000e+01  -16  256
 -1.6000e+01  -12  144
 -8.0000e+00   -8   64
 -1.2000e+01  -10  100
 -1.6000e+01    8   64
 -3.2000e+01   16  256
 -8.0000e+00    8   64
 -1.2000e+01   -4   16
 -2.4000e+01  -14  196
 -3.2000e+01  -16  256
 -2.0000e+01  -12  144
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -8.0000e+00   -4   16
 -4.0000e+00   -2    4
 -4.0000e+00    6   36
 -8.0000e+00    6   36
 -8.0000e+00    8   64
 -4.0000e+00    4   16
 -1.6000e+01  -10  100
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -2.0000e+01  -12  144
 -1.6000e+01  -12  144
 -4.0000e+00    0    0
 -4.0000e+00   -2    4
 -1.2000e+01   -4   16
 -1.2000e+01   -6   36
 -1.6000e+01  -12  144
 -1.6000e+01  -12  144
 -3.2000e+01  -16  256
 -8.0000e+00   -6   36
 -8.0000e+00   -6   36
 -8.0000e+00   -2    4
 -4.0000e+00    2    4
 -8.0000e+00    2    4
 -1.6000e+01  -10  100
 -8.0000e+00   -4   16
 -1.6000e+01  -10  100
 -1.6000e+01   -8   64
 -8.0000e+00   -2    4
  0.0000e+00   -6   36
 -1.6000e+01  -12  144
 -2.4000e+01  -14  196
 -3.2000e+01  -16  256
 -2.4000e+01  -14  196
 -1.2000e+01    6   36
 -8.0000e+00    6   36
 -3.2000e+01   16  256
 -3.2000e+01   16  256
 -1.2000e+01    4   16
 -8.0000e+00    6   36
 -1.2000e+01   10  100
 -8.0000e+00    0    0
 -4.0000e+00    6   36
 -4.0000e+00    6   36
 -2.4000e+01   14  196
 -2.0000e+01   12  144
 -1.2000e+01   -6   36
 -1.6000e+01  -12  144
 -1.6000e+01  -10  100
 -4.0000e+00   -2    4
 -4.0000e+00    2    4
 -1.2000e+01   -8   64
 -4.0000e+00   -2    4
 -8.0000e+00    0    0
 -1.2000e+01    8   64
 -1.2000e+01    6   36
  0.0000e+00    4   16
 -1.2000e+01    6   36
 -8.0000e+00    2    4
 -1.2000e+01   -6   36
 -1.6000e+01  -12  144
 -4.0000e+00   -4   16
  4.0000e+00    4   16
  0.0000e+00    6   36
 -4.0000e+00   -4   16
  0.0000e+00   -6   36
 -8.0000e+00   -8   64
 -8.0000e+00    0    0
  0.0000e+00    2    4
 -1.6000e+01   12  144
 -1.2000e+01    6   36
 -1.6000e+01    8   64
 -8.0000e+00    0    0
  0.0000e+00    2    4
  0.0000e+00   -2    4
 -4.0000e+00   -2    4
 -8.0000e+00    4   16
 -8.0000e+00    8   64
 -8.0000e+00   -8   64
 -8.0000e+00    4   16
 -1.6000e+01    8   64
 -1.6000e+01   10  100
 -8.0000e+00    2    4
 -1.2000e+01    4   16
 -8.0000e+00   -2    4
 -8.0000e+00    8   64
 -8.0000e+00   -6   36
 -8.0000e+00   -2    4
 -8.0000e+00    6   36
 -8.0000e+00   -8   64
 -8.0000e+00   -8   64
 -8.0000e+00  -10  100
 -1.6000e+01  -12  144
 -3.2000e+01  -16  256
 -1.6000e+01  -10  100
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -1.2000e+01  -10  100
 -4.0000e+00    0    0
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -2.0000e+01   12  144
 -2.4000e+01   14  196
 -8.0000e+00    8   64
 -4.0000e+00    4   16
 -4.0000e+00    4   16
 -1.2000e+01    6   36
 -1.6000e+01  -12  144
 -2.4000e+01  -14  196
 -1.2000e+01   -8   64
 -1.2000e+01   -6   36
 -4.0000e+00    2    4
 -8.0000e+00   -6   36
 -1.6000e+01   -8   64
 -1.2000e+01   -4   16
 -2.0000e+01  -12  144
 -3.2000e+01  -16  256
 -1.2000e+01   -8   64
 -4.0000e+00    6   36
 -2.4000e+01   14  196
 -1.6000e+01   10  100
 -3.2000e+01   16  256
 -1.6000e+01   10  100
 -8.0000e+00   -2    4
 -1.6000e+01  -10  100
  0.0000e+00   -6   36
  0.0000e+00   -4   16
 -4.0000e+00   -4   16
  4.0000e+00   -2    4
 -1.6000e+01  -12  144
 -1.6000e+01   -8   64
 -2.0000e+01  -12  144
 -1.6000e+01  -12  144
 -8.0000e+00    2    4
 -8.0000e+00    6   36
 -4.0000e+00    4   16
 -4.0000e+00   -2    4
 -4.0000e+00    6   36
 -1.6000e+01  -10  100
 -1.6000e+01  -12  144
 -4.0000e+00   -6   36
 -4.0000e+00    0    0
 -2.4000e+01   14  196
 -2.0000e+01   12  144
 -2.4000e+01   14  196
 -8.0000e+00   -2    4
 -4.0000e+00    0    0
  4.0000e+00   -6   36
 -4.0000e+00   -6   36
 -1.2000e+01   -8   64
 -1.6000e+01  -10  100
 -2.0000e+01  -12  144
 -1.6000e+01  -10  100
  0.0000e+00    2    4
 -2.4000e+01   14  196
 -1.6000e+01   12  144
 -8.0000e+00    4   16
 -2.0000e+01  -12  144
 -2.4000e+01  -14  196
 -3.2000e+01  -16  256
 -2.0000e+01  -12  144
 -1.6000e+01  -12  144
 -2.4000e+01  -14  196
 -8.0000e+00    0    0
 -4.0000e+00    0    0
 -4.0000e+00    0    0
 -8.0000e+00   -2    4
 -1.6000e+01   12  144
 -8.0000e+00    0    0
 -1.2000e+01  -10  100
 -1.2000e+01  -10  100
 -4.0000e+00    2    4
 -8.0000e+00    6   36
 -4.0000e+00    0    0
 -1.2000e+01    6   36
  4.0000e+00   -2    4
  4.0000e+00    4   16
  0.0000e+00    6   36
 -8.0000e+00    8   64
 -8.0000e+00    2    4
 -4.0000e+00    4   16
 -8.0000e+00    8   64
 -1.6000e+01   10  100
 -1.2000e+01   10  100
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -1.6000e+01   12  144
 -2.0000e+01   12  144
 -3.2000e+01   16  256
 -2.4000e+01   14  196
 -2.0000e+01   12  144
 -3.2000e+01   16  256
 -2.4000e+01   14  196
 -3.2000e+01   16  256
 -3.2000e+01   16  256
 -1.2000e+01   10  100
 -1.6000e+01   12  144
 -8.0000e+00    2    4
 -4.0000e+00    2    4
  0.0000e+00   -6   36
 -8.0000e+00   -8   64
 -4.0000e+00   -6   36
 -1.2000e+01  -10  100
 -8.0000e+00  -10  100
 -8.0000e+00    0    0
 -2.4000e+01   14  196
 -1.6000e+01   12  144
  0.0000e+00   -6   36
 -2.0000e+01  -12  144
 -1.2000e+01   -8   64
 -8.0000e+00   -8   64
 -4.0000e+00   -4   16
 -2.0000e+01  -12  144
 -1.6000e+01  -12  144
 -1.2000e+01   -6   36
 -1.6000e+01    0    0
 -2.0000e+01   12  144
 -3.2000e+01   16  256
 -8.0000e+00    8   64
 -2.4000e+01   14  196
 -8.0000e+00    4   16
 -3.2000e+01   16  256
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -8.0000e+00    0    0
 -4.0000e+00    2    4
 -1.2000e+01  -10  100
 -4.0000e+00   -4   16
  0.0000e+00    4   16
 -2.4000e+01   14  196
 -3.2000e+01   16  256
 -8.0000e+00    6   36
 -1.2000e+01    2    4
 -2.4000e+01  -14  196
 -1.6000e+01   -8   64
 -8.0000e+00   -6   36
 -8.0000e+00   -2    4
 -1.2000e+01   10  100
 -8.0000e+00    8   64
 -4.0000e+00    0    0
 -8.0000e+00    6   36
 -8.0000e+00    0    0
 -1.2000e+01   -2    4
 -8.0000e+00    6   36
 -1.6000e+01   10  100
 -2.4000e+01   14  196
 -3.2000e+01   16  256
 -2.4000e+01   14  196
 -1.2000e+01    8   64
  0.0000e+00    0    0
  0.0000e+00    2    4
 -8.0000e+00    0    0
 -1.2000e+01   -8   64
 -4.0000e+00   -8   64
 -8.0000e+00   -4   16
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -3.2000e+01   16  256
 -3.2000e+01   16  256
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -8.0000e+00    6   36
 -8.0000e+00   -4   16
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -3.2000e+01  -16  256
 -2.4000e+01  -14  196
 -2.4000e+01  -14  196
 -3.2000e+01  -16  256
 -2.0000e+01  -12  144
 -1.2000e+01  -10  100
 -8.0000e+00    2    4
 -1.2000e+01   -6   36
 -8.0000e+00   -8   64
 -2.4000e+01   14  196
 -8.0000e+00    6   36
 -4.0000e+00    2    4
 -1.2000e+01    8   64
 -1.6000e+01   10  100
  0.0000e+00    6   36
 -2.4000e+01   14  196
 -1.2000e+01    4   16
 -2.4000e+01  -14  196
 -1.6000e+01   -8   64
 -2.0000e+01  -12  144
  0.0000e+00   -6   36
  4.0000e+00    0    0
 -8.0000e+00    8   64
 -1.6000e+01   10  100
 -3.2000e+01   16  256
 -3.2000e+01   16  256
 -2.4000e+01   14  196
 -2.0000e+01  -12  144
 -1.2000e+01    4   16
 -1.6000e+01   10  100
 -1.6000e+01   12  144
 -8.0000e+00    2    4
 -1.2000e+01  -10  100
 -4.0000e+00   -6   36
 -1.2000e+01   -6   36
 -4.0000e+00   -2    4
 -1.2000e+01    2    4
 -2.0000e+01   12  144
 -1.2000e+01   10  100
 -1.6000e+01   10  100
 -2.4000e+01   14  196
 -3.2000e+01   16  256
 -3.2000e+01   16  256
 -1.2000e+01    8   64
 -8.0000e+00    4   16
 -1.2000e+01    8   64
 -1.2000e+01   -6   36
 -1.2000e+01   -2    4
 -8.0000e+00   -8   64
 -1.6000e+01  -12  144
 -8.0000e+00   -6   36
 -1.2000e+01  -10  100
 -1.2000e+01  -10  100
 -2.0000e+01   12  144
 -1.2000e+01    8   64
 -2.0000e+01   12  144
 -2.0000e+01   12  144
 -4.0000e+00   -6   36
 -4.0000e+00   -4   16
 -4.0000e+00    6   36
 -2.0000e+01   12  144
 -2.0000e+01   12  144
 -1.6000e+01   10  100
 -1.6000e+01   12  144
 -8.0000e+00   -6   36
 -8.0000e+00   -8   64
 -4.0000e+00   -6   36
 -8.0000e+00    2    4
 -1.2000e+01    6   36
 -1.2000e+01    6   36
 -2.4000e+01   14  196
 -3.2000e+01   16  256
 -2.4000e+01   14  196
 -2.0000e+01   12  144
 -4.0000e+00   -4   16
 -8.0000e+00   -8   64
 -4.0000e+00   -6   36
  0.0000e+00    6   36
  4.0000e+00    2    4
 -4.0000e+00    4   16
 -8.0000e+00    2    4
 -2.0000e+01   12  144
 -3.2000e+01   16  256
 -1.2000e+01   10  100
 -4.0000e+00    2    4
 -2.0000e+01  -12  144
 -1.2000e+01   10  100
 -1.2000e+01    8   64
 -3.2000e+01   16  256
 -3.2000e+01   16  256
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -2.4000e+01   14  196
 -1.6000e+01   10  100
 -3.2000e+01   16  256
 -4.0000e+00   -2    4
 -2.0000e+01  -12  144
 -8.0000e+00   -2    4
 -1.6000e+01    8   64
 -1.2000e+01    4   16
 -8.0000e+00   -8   64
 -2.0000e+01  -12  144
 -2.0000e+01  -12  144
 -1.2000e+01  -10  100
 -2.0000e+01  -12  144
